,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
384,0.9442,0.0,0.0,0.47,@FoxNews,2018-10-08 04:48:55,"RT @GovMikeHuckabee: Great cookbook ""The Happy Cookbook"" by my @FoxNews friend @SteveDoocy and wife Kathy just out. Some great recipes.  Ma…",45
385,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:52,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,46
386,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:52,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,47
387,0.4404,0.0,0.0,0.139,@FoxNews,2018-10-08 04:48:52,"RT @LisaMarieBoothe: Joining @ainsleyearhardt, @kilmeade &amp; @edhenry tomorrow morning on @foxandfriends at 6:15 AM ET on @FoxNews. Hope you…",48
388,0.9081,0.0,0.0,0.488,@FoxNews,2018-10-08 04:48:49,RT @FoxNews: .@ufc fighter Nik Lentz congratulates 'homie' Supreme Court Justice Brett Kavanaugh after match win https://t.co/31iyVuZpcR,49
389,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:48,RT @SmithFriar: @LindseyGrahamSC meme is going viral @PeterCozy @foxandfriends @FoxNews https://t.co/Z80SQUQ0am,50
390,-0.8402,0.333,0.333,0.0,@FoxNews,2018-10-08 04:48:47,"RT @FoxNews: .@benshapiro: ""The Democrats should be ashamed of themselves, but since they have no shame, none will be forthcoming."" https:/…",51
391,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:47,RT @FoxNews: 'Women for Trump' hosts America First summit https://t.co/xYFDUVl2To,52
392,-0.8402,0.333,0.333,0.0,@FoxNews,2018-10-08 04:48:46,"RT @FoxNews: .@benshapiro: ""The Democrats should be ashamed of themselves, but since they have no shame, none will be forthcoming."" https:/…",53
393,0.0,0.0,0.0,0.0,@FoxNews,2018-10-08 04:48:46,@Gitmoite @FoxNews @ChuckGrassley Huh?,54
